,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
14104,7521064.71261546,130006996.01818538,1060500000.0,597.3431525784185,0.00048510646953,scenario 3 policy 0
14105,26736287.160969064,130006996.01818538,1060500000.0,2002.4289019079783,0.0014207794273207,scenario 3 policy 0
14106,38339926.81255118,130006996.01818538,1060500000.0,2681.7420236423523,0.0052737421591039,scenario 3 policy 0
14107,2257177.239927804,130006996.01818538,1060500000.0,186.77553514829788,0.0001662641102216,scenario 3 policy 0
14108,111925169.27564342,130006996.01818538,1060500000.0,7551.255864456321,0.010359031426063,scenario 3 policy 0
14109,10624858.60895776,130006996.01818538,1060500000.0,735.1140682073944,0.0011312853055115,scenario 3 policy 0
14110,40848469.30060683,130006996.01818538,1060500000.0,3080.8626112344723,0.0021325719098953,scenario 3 policy 0
14111,6648020.705900054,130006996.01818538,1060500000.0,438.24490843827454,0.000384768586011,scenario 3 policy 0
14112,5330050.722097775,130006996.01818538,1060500000.0,428.8800009669153,0.0003535660911593,scenario 3 policy 0
14113,67868352.69149894,130006996.01818538,1060500000.0,5584.542617871514,0.0036402498026472,scenario 3 policy 0
14114,1559055.1462618052,130006996.01818538,1060500000.0,120.37699953022592,0.0001101966168675,scenario 3 policy 0
14115,3831770.8000323614,130006996.01818538,1060500000.0,299.2123324083402,0.0002646479358666,scenario 3 policy 0
14116,38598290.86039922,130006996.01818538,1060500000.0,2777.215114678585,0.0019214139097051,scenario 3 policy 0
14117,3952781.093340484,130006996.01818538,1060500000.0,296.26212838947333,0.00025446620505,scenario 3 policy 0
14118,20033037.945384994,130006996.01818538,1060500000.0,1256.9497286288288,0.0014598303544783,scenario 3 policy 0
14119,44257169.51599797,130006996.01818538,1060500000.0,4054.594116600342,0.0027192301288668,scenario 3 policy 0
14120,90882343.96328428,130006996.01818538,1060500000.0,8103.47249053833,0.0064019398716704,scenario 3 policy 0
14121,48576470.215731084,130006996.01818538,1060500000.0,2147.354656127499,0.0083230115485373,scenario 3 policy 0
14122,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14123,5392449.517740572,130006996.01818538,1060500000.0,348.9812386371364,0.0007313163072824,scenario 3 policy 0
14124,17653064.0821059,130006996.01818538,1060500000.0,1234.506519523206,0.0014118669216891,scenario 3 policy 0
14125,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14126,26151177.253897622,130006996.01818538,1060500000.0,2082.719478723259,0.0015217489331179,scenario 3 policy 0
14127,58335969.30202547,130006996.01818538,1060500000.0,4807.132081309535,0.0031207291730278,scenario 3 policy 0
14128,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14129,660532.1521273674,130006996.01818538,1060500000.0,46.76190374486278,4.567236333817394e-05,scenario 3 policy 0
14130,40691803.14684362,130006996.01818538,1060500000.0,3767.4865059929575,0.0024316551379395,scenario 3 policy 0
14131,1238394.1166686458,130006996.01818538,1060500000.0,74.46427318458579,0.0001737740115969,scenario 3 policy 0
14132,14489307.16582574,130006996.01818538,1060500000.0,906.172485898502,0.0007239780688343,scenario 3 policy 0
14133,40696473.309528746,130006996.01818538,1060500000.0,2901.730389741572,0.0020651351254672,scenario 3 policy 0
14134,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14135,1932114.931879058,130006996.01818538,1060500000.0,119.0155992713742,0.0001054981584285,scenario 3 policy 0
14136,4467504.122882518,130006996.01818538,1060500000.0,296.7148345706039,0.0002560285825824,scenario 3 policy 0
14137,2020707.164086947,130006996.01818538,1060500000.0,121.42909058158028,0.0001138275887633,scenario 3 policy 0
14138,7954619.587384196,130006996.01818538,1060500000.0,604.830989289747,0.000501988138501,scenario 3 policy 0
